Date,Symbol,Futures Contracts,Futures Quantity,Futures Value (Rs. In Crs.),Options Contracts,Options Quantity,Options Value (Rs. In Crs.),Total Overall Value (Rs. In Crs.),Equity Traded Value (Rs. In Crs.),Speculation Ratio,Equity Traded Quantity (in Lakhs),Equity Number of Trades,Equity Total Market Cap (Rs. Crs.),options/futures,open,high,low ,close
2016-12-20,NIFTY,117512,8813400,7142.91,2296685,172251375,141098.72,148241.63,15384.6,9.635715586,7325.24,6808488,10360676.3,19.75367462,8110.6,8124.1,8062.75,8082.4
2016-12-21,NIFTY,90298,6772350,5490.16,1779020,133426500,109002.89,114493.05,14048.65,8.149754603,7127.33,6691113,10349869.67,19.85422829,8105.85,8112.55,8053.25,8061.3
2016-12-22,NIFTY,187013,14025975,11238.2,3217362,241302150,195473.11,206711.31,13533.63,15.27389991,6763.35,6385308,10218359.34,17.39363154,8043.85,8046.45,7964.95,7979.1
2016-12-23,NIFTY,184560,13842000,11072.42,3238256,242869200,195679.03,206751.45,15265.82,13.5434225,7302.97,6815658,10209886.48,17.67265241,7972.5,8022.6,7942.05,7985.75
2016-12-26,NIFTY,187143,14035725,11130.75,3709424,278206800,223216.48,234347.23,13142.71,17.83096713,6625.4,5951623,10062765.03,20.05403769,7965.1,7970.05,7893.8,7908.25
2016-12-27,NIFTY,255184,19138800,15266.04,4471672,335375400,269609.62,284875.66,14367.64,19.82758894,7086.1,6070032,10217242.61,17.66074372,7915.05,8044.65,7903.7,8032.85
2016-12-28,NIFTY,284159,21311925,17198.96,6040948,453071100,366826.07,384025.03,15703.92,24.45408726,7272.14,6858424,10248270.99,21.32838672,8047.55,8100.55,8028.4,8034.85
2016-12-29,NIFTY,281511,21113325,17053.08,5462875,409715625,331285,348338.08,19268.58,18.07803585,9960.16,7004670,10358948.95,19.42669594,8030.6,8111.1,8020.8,8103.6
2016-12-30,NIFTY,121584,9118800,7461.11,1403427,105257025,86459.34,93920.45,14902.32,6.302404592,8182.99,6443783,10439621.29,11.58799964,8119.65,8197,8114.75,8185.8
2017-01-02,NIFTY,116089,8706675,7125.55,1225954,91946550,75557.49,82683.04,13590.33,6.083961169,7873.7,5550008,10495471.63,10.60374147,8210.1,8212,8133.8,8179.5
2017-01-03,NIFTY,120852,9063900,7432.58,1449490,108711750,89429.4,96861.98,15711.89,6.164884046,8493.17,6770077,10549925.62,12.03208038,8196.05,8219.1,8148.6,8192.25
2017-01-04,NIFTY,94585,7093875,5822.3,1028356,77126700,63696.31,69518.61,17475.43,3.97807722,9985.45,8100545,10563005.44,10.94005977,8202.65,8218.5,8180.9,8190.5
2017-01-05,NIFTY,151450,11358750,9400.42,1746949,131021175,108174.62,117575.04,19027.21,6.179310577,10518.44,8469294,10679678,11.50742414,8226.65,8282.65,8223.7,8273.8
2017-01-06,NIFTY,118769,8907675,7387.37,1602279,120170925,99910.69,107298.06,18343.04,5.849524397,9479.56,7704893,10644895.33,13.52452767,8281.85,8306.85,8233.25,8243.8
2017-01-09,NIFTY,67426,5056950,4175.62,938087,70356525,58409.23,62584.85,14510.43,4.313094099,7633.93,6448456,10649364.75,13.98815745,8259.35,8263,8227.75,8236.05
2017-01-10,NIFTY,83699,6277425,5202.71,1061292,79596900,65830.81,71033.52,17867.45,3.975582414,9112.65,7465144,10719759.98,12.6531769,8262.7,8293.8,8261,8288.6
2017-01-11,NIFTY,122860,9214500,7708.85,1968286,147621450,123008.08,130716.93,21562.17,6.062327215,11047.28,8536513,10836775.07,15.95673544,8327.8,8389,8322.25,8380.65
2017-01-12,NIFTY,115532,8664900,7285.21,1590972,119322900,99992.58,107277.79,18208.89,5.891506292,10136.04,7566068,10861044.14,13.72542178,8391.05,8417.2,8382.3,8407.2
2017-01-13,NIFTY,115144,8635800,7267.92,1728474,129635550,108967.14,116235.06,18619.03,6.242809642,8873.88,7416104,10844074.84,14.99289205,8457.65,8461.05,8373.15,8400.35
2017-01-16,NIFTY,88443,6633225,5586.78,1618440,121383000,101824.77,107411.55,15312.2,7.014769269,7993.36,6692898,10872784.93,18.22602107,8390.95,8426.7,8374.4,8412.8
2017-01-17,NIFTY,105657,7924275,6668.85,1778818,133411350,112264.48,118933.33,17126.36,6.944460469,8323.12,7014933,10866607.99,16.83415881,8415.05,8440.9,8378.3,8398
2017-01-18,NIFTY,128345,9625875,8124.84,2145239,160892925,135495.07,143619.91,19449.61,7.384205133,9265.44,7959356,10912751.81,16.67664471,8403.85,8460.3,8397.4,8417
2017-01-19,NIFTY,92421,6931575,5847.86,1451549,108866175,91647.95,97495.81,17974.62,5.424081844,9829.22,7234104,10949993.7,15.67204926,8418.4,8445.15,8404.05,8435.1
2017-01-20,NIFTY,173199,12989925,10900.65,2927055,219529125,184404.77,195305.42,19974.83,9.777576079,11498.96,7993044,10822542.76,16.91686,8404.35,8423.65,8340.95,8349.35
2017-01-23,NIFTY,218654,16399050,13765.3,3857547,289316025,242852.35,256617.65,17667.07,14.52519575,8671.86,6925240,10890504.84,17.64235796,8329.6,8404.15,8327.2,8391.5
2017-01-24,NIFTY,301655,22624125,19144.35,3896255,292219125,246767.85,265912.2,19591.3,13.57297372,9308.07,7981603,11000929.2,12.88985262,8407.05,8480.95,8398.15,8475.8
2017-01-25,NIFTY,371369,27852675,23841.52,5672605,425445375,362811.42,386652.94,30629.07,12.62372446,13751.71,9472111,11133279.8,15.21762958,8499.45,8612.6,8493.95,8602.75
2017-01-27,NIFTY,131747,9881025,8574.59,1536047,115203525,100712.34,109286.93,24587.82,4.444758828,12942.37,8897658,11184067.22,11.74544089,8610.5,8672.7,8606.9,8641.25
2017-01-30,NIFTY,94790,7109250,6154.2,1146582,85993650,75186.58,81340.78,19953.4,4.076537332,11761.93,7528573,11176762.5,12.21711677,8635.55,8662.6,8617.75,8632.75
