Date,Symbol,Futures Contracts,Futures Quantity,Futures Value (Rs. In Crs.),Options Contracts,Options Quantity,Options Value (Rs. In Crs.),Total Overall Value (Rs. In Crs.),Equity Traded Value (Rs. In Crs.),Equity Traded Quantity (in Lakhs),Equity Number of Trades,Equity Total Market Cap (Rs. Crs.)
2024-08-08,NIFTYNXT50,542,5420,39.19,1383,13830,104.07,143.26,115117.83,43141.89,43186203,44191907.61
2024-08-09,BANKNIFTY,126467,1897005,9608.03,57628111,864421665,4370146.16,4379754.19,113940.29,45275.15,39462116,44623028.27
2024-08-09,FINNIFTY,2690,67250,155.04,10939120,273478000,630154.97,630310.01,113940.29,45275.15,39462116,44623028.27
2024-08-09,MIDCPNIFTY,12297,614850,778.29,18972306,948615300,1197869.24,1198647.53,113940.29,45275.15,39462116,44623028.27
2024-08-09,NIFTY,285349,7133725,17408.34,63876170,1596904250,3899776.76,3917185.10,113940.29,45275.15,39462116,44623028.27
2024-08-09,NIFTYNXT50,815,8150,59.29,2113,21130,161.31,220.60,113940.29,45275.15,39462116,44623028.27
2024-08-12,BANKNIFTY,174256,2613840,13263.39,99787157,1496807355,7595030.52,7608293.91,124307.1,47831.81,45392964,44575689.41
2024-08-12,FINNIFTY,2937,73425,169.61,35124506,878112650,2025798.89,2025968.50,124307.1,47831.81,45392964,44575689.41
2024-08-12,MIDCPNIFTY,22342,1117100,1408.55,197896426,9894821300,12479538.96,12480947.51,124307.1,47831.81,45392964,44575689.41
2024-08-12,NIFTY,294093,7352325,17950.90,104122656,2603066400,6356916.66,6374867.56,124307.1,47831.81,45392964,44575689.41
2024-08-12,NIFTYNXT50,679,6790,49.38,1243,12430,92.34,141.72,124307.1,47831.81,45392964,44575689.41
2024-08-13,BANKNIFTY,206705,3100575,15621.53,138306609,2074599135,10464366.43,10479987.96,118875.76,48501.71,44243048,44141051.2
2024-08-13,FINNIFTY,11740,293500,669.95,531822911,13295572775,30298752.34,30299422.29,118875.76,48501.71,44243048,44141051.2
2024-08-13,MIDCPNIFTY,11819,590950,746.48,3807936,190396800,241911.60,242658.08,118875.76,48501.71,44243048,44141051.2
2024-08-13,NIFTY,258414,6460350,15680.52,124052682,3101317050,7555321.59,7571002.11,118875.76,48501.71,44243048,44141051.2
2024-08-13,NIFTYNXT50,810,8100,58.46,1263,12630,93.79,152.25,118875.76,48501.71,44243048,44141051.2
2024-08-14,BANKNIFTY,121646,1824690,9125.68,488068267,7321024005,36572029.78,36581155.46,109272.72,39584.66,41794835,44040961.26
2024-08-14,FINNIFTY,2082,52050,118.02,4408817,110220425,251939.48,252057.50,109272.72,39584.66,41794835,44040961.26
2024-08-14,MIDCPNIFTY,9165,458250,574.91,5762074,288103700,363291.45,363866.36,109272.72,39584.66,41794835,44040961.26
2024-08-14,NIFTY,196235,4905875,11866.34,327732754,8193318850,19833489.50,19845355.84,109272.72,39584.66,41794835,44040961.26
2024-08-14,NIFTYNXT50,757,7570,54.24,1577,15770,120.41,174.65,109272.72,39584.66,41794835,44040961.26
2024-08-16,BANKNIFTY,234452,3516780,17742.34,79613602,1194204030,6022537.06,6040279.40,111622.55,38564.65,40046577,44765725.69
2024-08-16,FINNIFTY,5013,125325,287.02,16589513,414737825,949863.14,950150.16,111622.55,38564.65,40046577,44765725.69
2024-08-16,MIDCPNIFTY,18218,910900,1154.34,19903543,995177150,1261063.20,1262217.54,111622.55,38564.65,40046577,44765725.69
2024-08-16,NIFTY,439756,10993900,26883.93,96076713,2401917825,5864155.64,5891039.57,111622.55,38564.65,40046577,44765725.69
2024-08-16,NIFTYNXT50,910,9100,66.07,5048,50480,393.99,460.06,111622.55,38564.65,40046577,44765725.69
2024-08-19,BANKNIFTY,131927,1978905,10019.39,83392737,1250891055,6335945.05,6345964.44,108403.03,41274.87,38297991,45039201.69
2024-08-19,FINNIFTY,2904,72600,166.98,28376645,709416125,1630819.63,1630986.61,108403.03,41274.87,38297991,45039201.69
2024-08-19,MIDCPNIFTY,21931,1096550,1398.16,246886420,12344321000,15727295.55,15728693.71,108403.03,41274.87,38297991,45039201.69
2024-08-19,NIFTY,177671,4441775,10936.20,72985235,1824630875,4479968.16,4490904.36,108403.03,41274.87,38297991,45039201.69
2024-08-19,NIFTYNXT50,724,7240,53.18,2535,25350,189.07,242.25,108403.03,41274.87,38297991,45039201.69
2024-08-20,BANKNIFTY,181832,2727480,13895.26,128698621,1930479315,9821029.47,9834924.73,116805.13,41692.3,39320890,45287228.22
2024-08-20,FINNIFTY,12430,310750,720.68,506537001,12663425025,29314315.75,29315036.43,116805.13,41692.3,39320890,45287228.22
2024-08-20,MIDCPNIFTY,11122,556100,714.27,2781371,139068550,179328.84,180043.11,116805.13,41692.3,39320890,45287228.22
2024-08-20,NIFTY,186219,4655475,11517.59,82100027,2052500675,5054600.36,5066117.95,116805.13,41692.3,39320890,45287228.22
2024-08-20,NIFTYNXT50,943,9430,69.68,3331,33310,250.73,320.41,116805.13,41692.3,39320890,45287228.22
2024-08-21,BANKNIFTY,247585,3713775,18840.70,803710927,12055663905,61040044.57,61058885.27,117623.75,43307.35,38813379,45524567.1
2024-08-21,FINNIFTY,2916,72900,168.84,5426476,135661900,315026.47,315195.31,117623.75,43307.35,38813379,45524567.1
2024-08-21,MIDCPNIFTY,14205,710250,917.46,3765372,188268600,243753.53,244670.99,117623.75,43307.35,38813379,45524567.1
2024-08-21,NIFTY,152119,3802975,9426.16,104786856,2619671400,6473039.16,6482465.32,117623.75,43307.35,38813379,45524567.1
