Date,Symbol,No of Contracts Traded,Traded Quantity,Total Traded Value (Rs. In Crs.)
2016-11-11,BANKNIFTY,1356979,54279160,109211.40
2016-11-11,NIFTY,3936764,295257300,251355.67
2016-11-15,BANKNIFTY,1623917,64956680,128803.41
2016-11-15,NIFTY,4100277,307520775,257539.88
2016-11-16,BANKNIFTY,2148420,85936800,167927.83
2016-11-16,NIFTY,3152268,236420100,196095.46
2016-11-17,BANKNIFTY,4752948,190117920,366369.80
2016-11-17,NIFTY,2850048,213753600,176212.71
2016-11-18,BANKNIFTY,1041310,41652400,80338.77
2016-11-18,NIFTY,3093839,232037925,190530.95
2016-11-21,BANKNIFTY,1908534,76341360,144343.36
2016-11-21,NIFTY,5002632,375197400,305606.05
2016-11-22,BANKNIFTY,1732077,69283080,129533.24
2016-11-22,NIFTY,4164389,312329175,253017.26
2016-11-23,BANKNIFTY,1831773,73270920,137134.95
2016-11-23,NIFTY,4472531,335439825,271965.47
2016-11-24,BANKNIFTY,3262089,130483560,241619.13
2016-11-24,NIFTY,6288963,471672225,380571.46
2016-11-25,BANKNIFTY,956617,38264680,71250.43
2016-11-25,NIFTY,1368201,102615075,83716.49
2016-11-28,BANKNIFTY,1241733,49669320,92005.30
2016-11-28,NIFTY,1072018,80401350,65969.41
2016-11-29,BANKNIFTY,1471592,58863680,108805.47
2016-11-29,NIFTY,1432992,107474400,88347.14
2016-11-30,BANKNIFTY,2991718,119668720,221216.45
2016-11-30,NIFTY,1222700,91702500,75453.38
2016-12-01,BANKNIFTY,4806588,192263520,357168.73
2016-12-01,NIFTY,1090375,81778125,67516.53
2016-12-02,BANKNIFTY,1116948,44677920,82821.10
2016-12-02,NIFTY,1593245,119493375,98396.88
2016-12-05,BANKNIFTY,900771,36030840,66538.82
2016-12-05,NIFTY,1407300,105547500,86502.34
2016-12-06,BANKNIFTY,953955,38158200,70827.84
2016-12-06,NIFTY,1208887,90666525,74550.78
2016-12-07,BANKNIFTY,2399975,95999000,178181.57
2016-12-07,NIFTY,1684609,126345675,103732.78
2016-12-08,BANKNIFTY,4343894,173755760,321110.10
2016-12-08,NIFTY,1749695,131227125,107995.51
2016-12-09,BANKNIFTY,906798,36271920,67721.36
2016-12-09,NIFTY,1359321,101949075,84499.39
2016-12-12,BANKNIFTY,962193,38487720,71606.14
2016-12-12,NIFTY,1568284,117621300,97313.79
2016-12-13,BANKNIFTY,1080398,43215920,79801.98
2016-12-13,NIFTY,1200698,90052350,74447.40
2016-12-14,BANKNIFTY,1350719,54028760,99647.56
2016-12-14,NIFTY,1410297,105772275,87243.15
2016-12-15,BANKNIFTY,5691343,227653720,419265.74
2016-12-15,NIFTY,2808319,210623925,172604.92
2016-12-16,BANKNIFTY,851941,34077640,62917.05
2016-12-16,NIFTY,1713102,128482650,105579.23
2016-12-19,BANKNIFTY,922870,36914800,67729.90
2016-12-19,NIFTY,1526850,114513750,93840.92
